Precinct,"Christopher Pelkola
Democratic","Lee Tonge
Democratic","Elizabeth A. Brotherton
Democratic","Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Champion Township Precinct 1",28,26,25,79,18,97,211
Totals,28,26,25,79,18,97,211

