Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Republic Township Precinct 1",-,8,8,318,326,917
Totals,-,8,8,318,326,917

