Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Chocolay Charter Township Precinct 1",-,19,19,813,832,"2,526"
"Chocolay Charter Township Precinct 2",-,12,12,924,936,"2,438"
"City of Marquette Precinct 2",-,7,7,783,790,"2,148"
"Sands Township Precinct 1",-,7,7,587,594,"1,909"
Totals,-,45,45,"3,107","3,152","9,021"

