Precinct,"Brian Rice
Non-Partisan","Catrina Suardini
Non-Partisan","Donna Adams
Non-Partisan","Linda R. Buck
Non-Partisan",Write-In,"Total Votes Cast","Total Ballots Cast","Registered Voters"
"Forsyth Township Precinct 1",553,504,486,478,4,"2,473",904,"2,495"
"Forsyth Township Precinct 2",177,169,156,155,3,807,300,812
"Forsyth Township Precinct 3",138,123,134,128,0,644,260,"1,464"
Totals,868,796,776,761,7,"3,924","1,464","4,771"

