Precinct,"Michelle Borrett
Republican",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Forsyth Township Precinct 1",267,2,269,635,904,"2,495"
"Forsyth Township Precinct 2",118,3,121,179,300,812
"Forsyth Township Precinct 3",101,0,101,159,260,"1,464"
Totals,486,5,491,973,"1,464","4,771"

