Precinct,"Carl Brunngraeber
Democratic","Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Turin Township Precinct 1",34,34,21,55,96
Totals,34,34,21,55,96

