Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Chocolay Charter Township Precinct 1",-,20,20,812,832,"2,526"
"Chocolay Charter Township Precinct 2",-,11,11,925,936,"2,438"
Totals,-,31,31,"1,737","1,768","4,964"

