Precinct,"Donald Rhein
Republican",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Chocolay Charter Township Precinct 1",177,4,392,392,832,"2,526"
"Chocolay Charter Township Precinct 2",181,1,407,577,936,"2,438"
Totals,358,5,799,969,"1,768","4,964"

