Precinct,"Frank J. Haas
Democratic","Ruth A. Lund
Democratic","Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Ewing Township Precinct 1",19,19,38,9,47,130
Totals,19,19,38,9,47,130

