Precinct,"Melody Wagner
Republican","Matthew Goss
Republican",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
Totals,"1,839","1,765",10,"3,614","12,280","15,894","48,733"
"Champion Township Precinct 1",7,5,0,12,85,97,211
"Chocolay Charter Township Precinct 1",109,125,1,235,597,832,"2,526"
"Chocolay Charter Township Precinct 2",145,115,1,261,675,936,"2,438"
"City of Ishpeming Precinct 1",60,58,2,120,528,648,"2,370"
"City of Ishpeming Precinct 2",56,60,0,116,459,575,"2,767"
"City of Marquette Precinct 1",54,81,2,137,499,636,"2,137"
"City of Marquette Precinct 2",82,82,0,164,626,790,"2,148"
"City of Marquette Precinct 3",68,62,1,131,567,698,"1,637"
"City of Marquette Precinct 4",51,34,0,85,511,596,"1,865"
"City of Marquette Precinct 5",29,41,0,70,556,626,"1,972"
"City of Marquette Precinct 6",28,25,0,53,366,419,"2,113"
"City of Marquette Precinct 7",40,47,0,87,729,816,"2,366"
"City of Negaunee Precinct 1",75,58,0,133,496,629,"1,915"
"City of Negaunee Precinct 2",74,67,0,141,617,758,"1,912"
"Ely Township Precinct 1",46,70,0,116,451,567,"1,702"
"Ewing Township Precinct 1",12,9,0,21,26,47,130
"Forsyth Township Precinct 1",155,159,1,315,589,904,"2,495"
"Forsyth Township Precinct 2",81,56,0,137,163,300,812
"Forsyth Township Precinct 3",60,53,1,114,146,260,"1,464"
"Humboldt Township Precinct 1",26,17,0,43,121,164,389
"Marquette Charter Township Precinct 1",65,88,0,153,635,788,"2,449"
"Marquette Charter Township Precinct 2",46,48,0,94,307,401,"1,162"
"Michigamme Township Precinct 1",8,15,0,23,134,157,294
"Negaunee Township Precinct 1",145,120,1,266,792,"1,058","2,662"
"Republic Township Precinct 1",36,39,0,75,251,326,917
"Richmond Township Precinct 1",28,18,0,46,188,234,639
"Sands Township Precinct 1",97,84,0,181,413,594,"1,909"
"Skandia Township Precinct 1",42,27,0,69,164,233,692
"Tilden Township Precinct 1",33,39,0,72,281,353,853
"Turin Township Precinct 1",7,5,0,12,43,55,96
"Wells Township Precinct 1",4,9,0,13,36,49,168
"W. Branch Township Precinct 1",70,49,0,119,229,348,"1,523"
Totals,"1,839","1,765",10,"3,614","12,280","15,894","48,733"

