Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Negaunee Township Precinct 1",-,16,16,"1,042","1,058","2,662"
Totals,-,16,16,"1,042","1,058","2,662"

