Precinct,"Steven Kevern
Republican",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Forsyth Township Precinct 1",283,3,286,618,904,"2,495"
"Forsyth Township Precinct 2",126,0,126,174,300,812
"Forsyth Township Precinct 3",93,0,93,167,260,"1,464"
Totals,502,3,505,959,"1,464","4,771"

