Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Republic Township Precinct 1",-,4,4,322,326,917
Totals,-,4,4,322,326,917

