Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Ishpeming Township Precinct 1A",-,8,8,472,480,"1,390"
"Ishpeming Township Precinct 2",-,9,9,463,472,"1,458"
Totals,-,17,17,935,952,"2,848"

