Precinct,"Kelli Santilli
Democratic","Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Powell Township Precinct 1",109,109,98,207,496
"Powell Township Precinct 2",53,53,35,88,219
Totals,162,162,133,295,715

