Precinct,"Maggie Hansen
Democratic","Jackie Kayser
Democratic","Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Turin Township Precinct 1",25,14,39,16,55,96
Totals,25,14,39,16,55,96

