Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Humboldt Township Precinct 1",-,4,4,160,164,389
Totals,-,4,4,160,164,389

