Precinct,"Samantha Morin
Democratic","Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Powell Township Precinct 1",107,107,100,207,496
"Powell Township Precinct 2",51,51,37,88,219
Totals,158,158,137,295,715

