Precinct,"Peter Koski
Republican",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Humboldt Township Precinct 1",45,1,46,118,164,389
Totals,45,1,46,118,164,389

