Precinct,"Russell Williams
Democratic","Jason Makinen
Democratic",Write-In,"Total Votes Cast","Total Ballots Cast","Registered Voters"
"Negaunee Township Precinct 1",462,457,3,"1,920","1,058","2,662"
Totals,462,457,3,"1,920","1,058","2,662"

