Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Ely Township Precinct 1",-,8,8,559,567,"1,702"
Totals,-,8,8,559,567,"1,702"

