Precinct,"Connie Heikkila
Republican","Dale Throenle
Republican",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Forsyth Township Precinct 1",234,201,2,437,467,904,"2,495"
"Forsyth Township Precinct 2",105,89,1,195,105,300,812
"Forsyth Township Precinct 3",76,70,2,148,112,260,"1,464"
Totals,415,360,5,780,684,"1,464","4,771"

