Precinct,"Sarah Etelamaki
Republican","Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Humboldt Township Precinct 1",44,44,120,164,389
Totals,44,44,120,164,389

