Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Forsyth Township Precinct 1",-,26,26,878,904,"2,495"
"Forsyth Township Precinct 2",-,10,10,290,300,812
"Forsyth Township Precinct 3",-,9,9,251,260,"1,464"
Totals,-,45,45,"1,419","1,464","4,771"

