Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Chocolay Charter Township Precinct 1",-,18,18,814,832,"2,526"
"Chocolay Charter Township Precinct 2",-,14,14,922,936,"2,438"
Totals,-,32,32,"1,736","1,768","4,964"

