Precinct,"Tim Overmyer
Republican",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"W. Branch Township Precinct 1",98,1,99,249,348,"1,523"
Totals,98,1,99,249,348,"1,523"

