Precinct,"Marilyn Manninen
Democratic","Steve Mileski
Democratic","Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Wells Township Precinct 1",26,25,51,51,49,168
Totals,26,25,51,51,49,168

