Precinct,"Jeremy A. Laakso
Democratic","Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Ely Township Precinct 1",377,377,190,567,"1,702"
Totals,377,377,190,567,"1,702"

