Precinct,"Rachel Sertich
Democratic","Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Negaunee Township Precinct 1",589,589,469,"1,058","2,662"
Totals,589,589,469,"1,058","2,662"

