Precinct,"John James
Republican",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
Totals,"4,073",13,"4,086","13,055","17,141","52,319"
"Champion Township Precinct 1",13,0,13,84,97,211
"Chocolay Charter Township Precinct 1",248,1,249,583,832,"2,526"
"Chocolay Charter Township Precinct 2",291,0,291,645,936,"2,438"
"City of Ishpeming Precinct 1",122,1,123,525,648,"2,370"
"City of Ishpeming Precinct 2",119,0,119,456,575,"2,767"
"City of Marquette Precinct 1",146,0,146,490,636,"2,137"
"City of Marquette Precinct 2",175,0,175,615,790,"2,148"
"City of Marquette Precinct 3",135,2,137,561,698,"1,637"
"City of Marquette Precinct 4",97,0,97,499,596,"1,865"
"City of Marquette Precinct 5",78,2,80,546,626,"1,972"
"City of Marquette Precinct 6",62,0,62,357,419,"2,113"
"City of Marquette Precinct 7",97,0,97,719,816,"2,366"
"City of Negaunee Precinct 1",133,0,133,496,629,"1,915"
"City of Negaunee Precinct 2",146,1,147,611,758,"1,912"
"Ely Township Precinct 1",122,0,122,445,567,"1,702"
"Ewing Township Precinct 1",20,0,20,27,47,130
"Forsyth Township Precinct 1",308,1,309,595,904,"2,495"
"Forsyth Township Precinct 2",137,3,140,160,300,812
"Forsyth Township Precinct 3",110,0,110,150,260,"1,464"
"Humboldt Township Precinct 1",45,0,45,119,164,389
"Ishpeming Township Precinct 1A",99,0,99,376,475,"1,390"
"Ishpeming Township Precinct 1B",0,0,0,5,5,23
"Ishpeming Township Precinct 2",89,0,89,383,472,"1,458"
"Marquette Charter Township Precinct 1",157,1,158,630,788,"2,449"
"Marquette Charter Township Precinct 2",104,0,104,297,401,"1,162"
"Michigamme Township Precinct 1",26,0,26,131,157,294
"Negaunee Township Precinct 1",292,0,292,766,"1,058","2,662"
"Powell Township Precinct 1",71,0,71,136,207,496
"Powell Township Precinct 2",26,0,26,62,88,219
"Republic Township Precinct 1",79,0,79,247,326,917
"Richmond Township Precinct 1",48,0,48,186,234,639
"Sands Township Precinct 1",189,1,190,404,594,"1,909"
"Skandia Township Precinct 1",71,0,71,162,233,692
"Tilden Township Precinct 1",74,0,74,279,353,853
"Turin Township Precinct 1",12,0,12,43,55,96
"Wells Township Precinct 1",15,0,15,34,49,168
"W. Branch Township Precinct 1",117,0,117,231,348,"1,523"
Totals,"4,073",13,"4,086","13,055","17,141","52,319"

