Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Ishpeming Township Precinct 1A",-,5,5,470,475,"1,390"
"Ishpeming Township Precinct 1B",-,0,0,5,5,23
"Ishpeming Township Precinct 2",-,9,9,463,472,"1,458"
Totals,-,14,14,938,952,"2,871"

