Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
Totals,-,83,83,"2,700","2,783","8,872"
"Ewing Township Precinct 1",-,3,3,44,47,130
"Forsyth Township Precinct 1",-,24,24,880,904,"2,495"
"Forsyth Township Precinct 2",-,10,10,290,300,812
"Forsyth Township Precinct 3",-,10,10,250,260,"1,464"
"Richmond Township Precinct 1",-,11,11,223,234,639
"Skandia Township Precinct 1",-,5,5,228,233,692
"Tilden Township Precinct 1",-,3,3,350,353,853
"Turin Township Precinct 1",-,2,2,53,55,96
"Wells Township Precinct 1",-,1,1,48,49,168
"W. Branch Township Precinct 1",-,14,14,334,348,"1,523"
Totals,-,83,83,"2,700","2,783","8,872"

