Precinct,Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Ishpeming Township Precinct 1A",0,81,394,475,"1,390"
"Ishpeming Township Precinct 1B",0,0,5,5,23
"Ishpeming Township Precinct 2",4,84,388,472,"1,458"
Totals,4,165,787,952,"2,871"

