Precinct,"Betty L. Eggleston
Democratic","Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Turin Township Precinct 1",38,38,17,55,96
Totals,38,38,17,55,96

