Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Champion Township Precinct 1",-,2,2,95,97,211
Totals,-,2,2,95,97,211

