Precinct,"Gary Brunngraeber
Democratic","Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Turin Township Precinct 1",36,36,19,55,96
Totals,36,36,19,55,96

