Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Powell Township Precinct 1",-,4,4,203,207,496
"Powell Township Precinct 2",-,1,1,87,88,219
Totals,-,5,5,290,295,715

