Precinct,Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Forsyth Township Precinct 1",0,754,150,904,"2,495"
"Forsyth Township Precinct 2",1,203,97,300,812
"Forsyth Township Precinct 3",2,171,89,260,"1,464"
Totals,3,"1,128",336,"1,464","4,771"

