Precinct,"Darlene Turner
Democratic","Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Powell Township, Precinct 1",108,108,99,207,496
"Powell Township, Precinct 2",51,51,37,88,219
Totals,159,159,136,295,715

