Precinct,"Patrick L. Moyle
Republican",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Negaunee Township Precinct 1",267,1,268,790,"1,058","2,662"
Totals,267,1,268,790,"1,058","2,662"

