Precinct,Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Ishpeming Township Precinct 1A",2,295,180,475,"1,390"
"Ishpeming Township Precinct 1B",0,4,1,5,23
"Ishpeming Township Precinct 2",3,322,150,472,"1,458"
Totals,5,621,331,952,"2,871"

