Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Powell Township Precinct 1",-,5,5,202,207,496
"Powell Township Precinct 2",-,2,2,86,88,219
Totals,-,7,7,288,295,715

