Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"W. Branch Township Precinct 1",-,13,13,335,348,"1,523"
Totals,-,13,13,335,348,"1,523"

