Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"City of Ishpeming Precinct 1",-,11,11,637,648,"2,370"
"City of Ishpeming Precinct 2",-,16,16,559,575,"2,767"
"City of Negaunee Precinct 1",-,11,11,618,629,"1,915"
"City of Negaunee Precinct 2",-,11,11,747,758,"1,912"
Totals,-,49,49,"2,561","2,610","8,964"

