Precinct,"Mary Jayne Richmond
Republican",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Turin Township Precinct 1",9,9,18,37,55,96
Totals,9,9,18,37,55,96

