Precinct,"Stephen Olsen
Republican","Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Negaunee Township Precinct 1",238,238,820,"1,058","2,662"
Totals,238,238,820,"1,058","2,662"

