Precinct,"Judy McGuire
Republican",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Skandia Township Precinct 1",53,1,54,179,233,692
Totals,53,1,54,179,233,692

