Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Skandia Township Precinct 1",-,7,7,226,233,692
Totals,-,7,7,226,233,692

