Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Republic Township Precinct 1",-,11,11,315,326,917
Totals,-,11,11,315,326,917

