Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Powell Township Precinct 1",-,8,8,199,207,496
"Powell Township Precinct 2",-,2,2,86,88,219
Totals,-,10,10,285,295,715

