Precinct,"Arthur J. Gischia
Democratic","Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Ely Township Precinct 1",297,554,13,567,"1,702"
Totals,297,554,13,567,"1,702"

