Precinct,"Anna C. Erickson
Republican",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Skandia Township Precinct 1",63,1,64,169,233,692
Totals,63,1,64,169,233,692

