Precinct,"Adam Shane Pelt
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,060","4,060","7,369","11,429"
"Clinton Township, Precinct 33",13,13,420,433
"Clinton Township, Precinct 39",122,122,207,329
"Clinton Township, Precinct 40",174,174,234,408
"Fraser City, Precinct 1",168,168,238,406
"Fraser City, Precinct 2",272,272,363,635
"Fraser City, Precinct 3",223,223,444,667
"Fraser City, Precinct 4",179,179,330,509
"Fraser City, Precinct 5",56,56,121,177
"Fraser City, Precinct 6",266,266,455,721
"Fraser City, Precinct 7",129,129,235,364
"Roseville City, Precinct 1",172,172,248,420
"Roseville City, Precinct 2",231,231,310,541
"Roseville City, Precinct 3",100,100,284,384
"Roseville City, Precinct 4",106,106,184,290
"Roseville City, Precinct 5",146,146,253,399
"Roseville City, Precinct 6",139,139,194,333
"Roseville City, Precinct 7",131,131,235,366
"Roseville City, Precinct 8",173,173,310,483
"Roseville City, Precinct 9",241,241,399,640
"Roseville City, Precinct 10",131,131,184,315
"Roseville City, Precinct 11",164,164,260,424
"Roseville City, Precinct 12",112,112,236,348
"Roseville City, Precinct 13",120,120,244,364
"Roseville City, Precinct 14",150,150,228,378
"Roseville City, Precinct 15",154,154,331,485
"Roseville City, Precinct 16",102,102,170,272
"Roseville City, Precinct 17",70,70,134,204
"Roseville City, Precinct 18",16,16,118,134
Totals,"4,060","4,060","7,369","11,429"

