Precinct,"Gary E. Cynowa
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,600","4,600","9,955","14,555"
"Macomb Township, Precinct 5",158,158,196,354
"Macomb Township, Precinct 6",191,191,264,455
"Macomb Township, Precinct 7",176,176,393,569
"Macomb Township, Precinct 8",262,262,521,783
"Macomb Township, Precinct 9",60,60,141,201
"Macomb Township, Precinct 12",57,57,188,245
"Macomb Township, Precinct 13",268,268,524,792
"Macomb Township, Precinct 14",205,205,371,576
"Macomb Township, Precinct 17",210,210,513,723
"Macomb Township, Precinct 18",85,85,77,162
"Macomb Township, Precinct 19",183,183,434,617
"Macomb Township, Precinct 20",187,187,448,635
"Macomb Township, Precinct 21",172,172,330,502
"Macomb Township, Precinct 22",117,117,329,446
"Macomb Township, Precinct 23",320,320,587,907
"Macomb Township, Precinct 24",231,231,472,703
"Macomb Township, Precinct 25",106,106,283,389
"Macomb Township, Precinct 26",119,119,276,395
"Macomb Township, Precinct 27",197,197,467,664
"Macomb Township, Precinct 28",123,123,341,464
"Macomb Township, Precinct 29",216,216,577,793
"Macomb Township, Precinct 30",171,171,406,577
"Macomb Township, Precinct 31",129,129,283,412
"Macomb Township, Precinct 32",277,277,592,869
"Macomb Township, Precinct 33",134,134,282,416
"Macomb Township, Precinct 34",95,95,284,379
"Macomb Township, Precinct 35",151,151,376,527
Totals,"4,600","4,600","9,955","14,555"

