Precinct,"Richard M. Steenland
Democratic","Kimberly L. Edwards
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,400","3,009","6,409","4,469","10,878"
"Eastpointe City, Precinct 1",83,111,194,90,284
"Eastpointe City, Precinct 2",146,142,288,140,428
"Eastpointe City, Precinct 3",120,118,238,156,394
"Eastpointe City, Precinct 4",115,122,237,166,403
"Eastpointe City, Precinct 5",92,131,223,135,358
"Eastpointe City, Precinct 6",100,150,250,128,378
"Eastpointe City, Precinct 7",82,145,227,79,306
"Eastpointe City, Precinct 8",137,220,357,106,463
"Eastpointe City, Precinct 9",97,147,244,80,324
"Eastpointe City, Precinct 10",61,74,135,101,236
"Eastpointe City, Precinct 11",95,136,231,113,344
"Eastpointe City, Precinct 12",170,217,387,205,592
"Eastpointe City, Precinct 13",55,102,157,71,228
"Eastpointe City, Precinct 14",123,165,288,113,401
"Roseville City, Precinct 1",138,60,198,222,420
"Roseville City, Precinct 2",172,60,232,309,541
"Roseville City, Precinct 3",118,123,241,143,384
"Roseville City, Precinct 4",93,54,147,143,290
"Roseville City, Precinct 5",131,71,202,197,399
"Roseville City, Precinct 6",100,51,151,182,333
"Roseville City, Precinct 7",107,87,194,172,366
"Roseville City, Precinct 8",183,68,251,232,483
"Roseville City, Precinct 9",200,104,304,336,640
"Roseville City, Precinct 11",157,58,215,209,424
"Roseville City, Precinct 13",137,67,204,160,364
"Roseville City, Precinct 15",174,96,270,215,485
"Roseville City, Precinct 16",85,53,138,134,272
"Roseville City, Precinct 17",79,27,106,98,204
"Roseville City, Precinct 18",50,50,100,34,134
Totals,"3,400","3,009","6,409","4,469","10,878"

