Precinct,"Bert Van Dyke
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"1,303","1,303","4,121","5,424"
"Armada Township, Precinct 1",171,171,670,841
"Armada Township, Precinct 2",101,101,504,605
"Lenox Township, Precinct 1",99,99,349,448
"Lenox Township, Precinct 2",149,149,431,580
"Lenox Township, Precinct 3",207,207,273,480
"Lenox Township, Precinct 4",63,63,101,164
"Memphis City, Precinct 1",31,31,148,179
"Richmond City, Precinct 1",199,199,530,729
"Richmond City, Precinct 2",139,139,410,549
"Richmond Township, Precinct 1",57,57,341,398
"Richmond Township, Precinct 2",87,87,364,451
Totals,"1,303","1,303","4,121","5,424"

