Precinct,"Dennis W. Stevenson
Republican","Benedict Bongiorno Jr.
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"2,600","1,905","4,505","2,876","7,381"
"Washington Township, Precinct 1",128,77,205,177,382
"Washington Township, Precinct 2",189,150,339,262,601
"Washington Township, Precinct 3",303,198,501,312,813
"Washington Township, Precinct 4",164,151,315,217,532
"Washington Township, Precinct 5",323,190,513,247,760
"Washington Township, Precinct 6",366,246,612,355,967
"Washington Township, Precinct 7",269,244,513,300,813
"Washington Township, Precinct 8",226,160,386,322,708
"Washington Township, Precinct 9",136,117,253,136,389
"Washington Township, Precinct 10",158,140,298,244,542
"Washington Township, Precinct 11",224,135,359,187,546
"Washington Township, Precinct 12",114,97,211,117,328
Totals,"2,600","1,905","4,505","2,876","7,381"

