Precinct,"No Nomination",Overvotes/Undervotes,"Total Ballots Cast"
Totals,-,"7,393","7,393"
"Sterling Heights City, Precinct 1",-,382,382
"Warren City, Precinct 1",-,355,355
"Warren City, Precinct 2",-,368,368
"Warren City, Precinct 3",-,419,419
"Warren City, Precinct 4",-,406,406
"Warren City, Precinct 5",-,451,451
"Warren City, Precinct 17",-,115,115
"Warren City, Precinct 18",-,437,437
"Warren City, Precinct 19",-,628,628
"Warren City, Precinct 31",-,282,282
"Warren City, Precinct 32",-,575,575
"Warren City, Precinct 33",-,330,330
"Warren City, Precinct 34",-,365,365
"Warren City, Precinct 35",-,320,320
"Warren City, Precinct 36",-,619,619
"Warren City, Precinct 41",-,379,379
"Warren City, Precinct 42",-,662,662
"Warren City, Precinct 51",-,300,300
Totals,-,"7,393","7,393"

