Precinct,"Pamela Hornberger
Republican","Michael D. Williams
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"13,558","7,075","20,633","21,608","42,241"
"Chesterfield Township, Precinct 1",292,128,420,337,757
"Chesterfield Township, Precinct 2",237,136,373,272,645
"Chesterfield Township, Precinct 3",246,103,349,205,554
"Chesterfield Township, Precinct 4",188,71,259,193,452
"Chesterfield Township, Precinct 5",242,108,350,300,650
"Chesterfield Township, Precinct 6",239,91,330,224,554
"Chesterfield Township, Precinct 7",141,105,246,160,406
"Chesterfield Township, Precinct 8",216,63,279,171,450
"Chesterfield Township, Precinct 9",214,109,323,257,580
"Chesterfield Township, Precinct 10",465,163,628,340,968
"Chesterfield Township, Precinct 11",167,87,254,168,422
"Chesterfield Township, Precinct 12",175,97,272,264,536
"Chesterfield Township, Precinct 13",296,118,414,293,707
"Chesterfield Township, Precinct 14",156,88,244,153,397
"Chesterfield Township, Precinct 15",345,132,477,307,784
"Chesterfield Township, Precinct 16",258,99,357,251,608
"Chesterfield Township, Precinct 17",56,41,97,111,208
"Chesterfield Township, Precinct 18",147,56,203,158,361
"Chesterfield Township, Precinct 19",150,61,211,195,406
"Clinton Township, Precinct 6",45,14,59,241,300
"Clinton Township, Precinct 13",13,7,20,293,313
"Clinton Township, Precinct 14",56,32,88,193,281
"Clinton Township, Precinct 27",90,85,175,271,446
"Clinton Township, Precinct 28",189,76,265,331,596
"Clinton Township, Precinct 36",86,46,132,131,263
"Clinton Township, Precinct 37",139,92,231,349,580
"Clinton Township, Precinct 38",79,67,146,254,400
"Clinton Township, Precinct 41",15,9,24,213,237
"Clinton Township, Precinct 42",147,104,251,307,558
"Village of Grosse Pointe Shores City, Precinct 3",18,7,25,13,38
"Harrison Township, Precinct 1",177,89,266,263,529
"Harrison Township, Precinct 2",201,135,336,415,751
"Harrison Township, Precinct 3",255,120,375,312,687
"Harrison Township, Precinct 4",237,135,372,301,673
"Harrison Township, Precinct 5",343,176,519,322,841
"Harrison Township, Precinct 6",228,139,367,317,684
"Harrison Township, Precinct 7",299,150,449,339,788
"Harrison Township, Precinct 8",98,63,161,229,390
"Harrison Township, Precinct 9",298,141,439,259,698
"Harrison Township, Precinct 10",220,132,352,262,614
"Mount Clemens City, Precinct 1",23,15,38,253,291
"Mount Clemens City, Precinct 2",113,59,172,302,474
"Mount Clemens City, Precinct 3",130,87,217,334,551
"Mount Clemens City, Precinct 4",69,32,101,165,266
"Mount Clemens City, Precinct 6",77,66,143,396,539
"Mount Clemens City, Precinct 9",166,83,249,305,554
"New Baltimore City, Precinct 1",154,85,239,153,392
"New Baltimore City, Precinct 2",159,62,221,121,342
"New Baltimore City, Precinct 3",311,166,477,264,741
"New Baltimore City, Precinct 4",249,106,355,272,627
"New Baltimore City, Precinct 5",240,131,371,234,605
"St. Clair Shores City, Precinct 1",123,66,189,458,647
"St. Clair Shores City, Precinct 2",181,114,295,540,835
"St. Clair Shores City, Precinct 3",351,143,494,599,"1,093"
"St. Clair Shores City, Precinct 4",186,106,292,439,731
"St. Clair Shores City, Precinct 5",214,114,328,483,811
"St. Clair Shores City, Precinct 6",83,71,154,266,420
"St. Clair Shores City, Precinct 7",203,123,326,479,805
"St. Clair Shores City, Precinct 8",116,79,195,223,418
"St. Clair Shores City, Precinct 9",185,95,280,411,691
"St. Clair Shores City, Precinct 10",251,158,409,516,925
"St. Clair Shores City, Precinct 11",182,84,266,421,687
"St. Clair Shores City, Precinct 12",375,186,561,550,"1,111"
"St. Clair Shores City, Precinct 13",205,121,326,400,726
"St. Clair Shores City, Precinct 14",203,127,330,396,726
"St. Clair Shores City, Precinct 15",262,137,399,446,845
"St. Clair Shores City, Precinct 16",229,141,370,379,749
"St. Clair Shores City, Precinct 17",280,156,436,480,916
"St. Clair Shores City, Precinct 18",230,170,400,481,881
"St. Clair Shores City, Precinct 19",184,115,299,304,603
"St. Clair Shores City, Precinct 20",187,120,307,317,624
"St. Clair Shores City, Precinct 21",174,82,256,247,503
Totals,"13,558","7,075","20,633","21,608","42,241"

