Precinct,"Nicholyn Brandenburg
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Harrison Township, Precinct 2",315,315,436,751
"Harrison Township, Precinct 3",323,323,364,687
"Harrison Township, Precinct 4",319,319,354,673
"Harrison Township, Precinct 5",434,434,407,841
"Harrison Township, Precinct 6",294,294,390,684
"Harrison Township, Precinct 7",388,388,400,788
"Harrison Township, Precinct 8",142,142,248,390
"Harrison Township, Precinct 9",388,388,310,698
"Harrison Township, Precinct 10",296,296,318,614
"Lenox Township, Precinct 1",260,260,188,448
"Lenox Township, Precinct 2",337,337,243,580
"Lenox Township, Precinct 3",192,192,288,480
"Lenox Township, Precinct 4",80,80,84,164
"Macomb Township, Precinct 1",247,247,325,572
"Macomb Township, Precinct 2",174,174,266,440
"Macomb Township, Precinct 3",281,281,396,677
"Macomb Township, Precinct 4",180,180,217,397
"Macomb Township, Precinct 5",148,148,206,354
"Macomb Township, Precinct 6",178,178,277,455
"Macomb Township, Precinct 7",260,260,309,569
"Macomb Township, Precinct 8",377,377,406,783
"Macomb Township, Precinct 9",103,103,98,201
"Macomb Township, Precinct 10",386,386,420,806
"Macomb Township, Precinct 11",285,285,333,618
"Macomb Township, Precinct 12",125,125,120,245
"Macomb Township, Precinct 13",385,385,407,792
"Macomb Township, Precinct 14",266,266,310,576
"Macomb Township, Precinct 15",421,421,324,745
"Macomb Township, Precinct 16",306,306,306,612
"Macomb Township, Precinct 17",360,360,363,723
"Macomb Township, Precinct 18",60,60,102,162
"Macomb Township, Precinct 19",294,294,323,617
"Macomb Township, Precinct 20",311,311,324,635
"Macomb Township, Precinct 21",234,234,268,502
"Macomb Township, Precinct 22",254,254,192,446
"Macomb Township, Precinct 23",398,398,509,907
"Macomb Township, Precinct 24",321,321,382,703
"Macomb Township, Precinct 25",207,207,182,389
"Macomb Township, Precinct 26",208,208,187,395
"Macomb Township, Precinct 27",323,323,341,664
"Macomb Township, Precinct 28",231,231,233,464
"Macomb Township, Precinct 29",405,405,388,793
"Macomb Township, Precinct 30",285,285,292,577
"Macomb Township, Precinct 31",198,198,214,412
"Macomb Township, Precinct 32",428,428,441,869
"Macomb Township, Precinct 33",213,213,203,416
"Macomb Township, Precinct 34",217,217,162,379
"Macomb Township, Precinct 35",266,266,261,527
"Memphis City, Precinct 1",113,113,66,179
"Mount Clemens City, Precinct 1",26,26,265,291
"Mount Clemens City, Precinct 2",149,149,325,474
"Mount Clemens City, Precinct 3",193,193,358,551
"Mount Clemens City, Precinct 4",88,88,178,266
"Mount Clemens City, Precinct 6",124,124,415,539
"Mount Clemens City, Precinct 9",220,220,334,554
"New Baltimore City, Precinct 1",207,207,185,392
"New Baltimore City, Precinct 2",173,173,169,342
"New Baltimore City, Precinct 3",404,404,337,741
"New Baltimore City, Precinct 4",301,301,326,627
"New Baltimore City, Precinct 5",312,312,293,605
"Ray Township, Precinct 1",299,299,213,512
"Ray Township, Precinct 2",366,366,261,627
"Richmond City, Precinct 1",391,391,338,729
"Richmond City, Precinct 2",303,303,246,549
"Richmond Township, Precinct 1",273,273,125,398
"Richmond Township, Precinct 2",263,263,188,451
"Roseville City, Precinct 1",169,169,251,420
"Roseville City, Precinct 2",227,227,314,541
"Roseville City, Precinct 3",99,99,285,384
"Roseville City, Precinct 4",111,111,179,290
"Roseville City, Precinct 5",147,147,252,399
"Roseville City, Precinct 6",139,139,194,333
"Roseville City, Precinct 7",129,129,237,366
"Roseville City, Precinct 8",178,178,305,483
"Roseville City, Precinct 9",245,245,395,640
"Roseville City, Precinct 10",128,128,187,315
"Roseville City, Precinct 11",169,169,255,424
"Roseville City, Precinct 12",113,113,235,348
"Roseville City, Precinct 13",124,124,240,364
"Roseville City, Precinct 14",155,155,223,378
"Roseville City, Precinct 15",157,157,328,485
"Roseville City, Precinct 16",102,102,170,272
"Roseville City, Precinct 17",70,70,134,204
"Roseville City, Precinct 18",18,18,116,134
"Shelby Township, Precinct 1",237,237,201,438
"Shelby Township, Precinct 2",387,387,307,694
"Shelby Township, Precinct 3",163,163,147,310
"Shelby Township, Precinct 4",306,306,274,580
"Shelby Township, Precinct 5",201,201,235,436
"Shelby Township, Precinct 6",142,142,194,336
"Shelby Township, Precinct 7",364,364,312,676
"Shelby Township, Precinct 8",195,195,164,359
"Shelby Township, Precinct 9",136,136,156,292
"Shelby Township, Precinct 10",259,259,242,501
"Shelby Township, Precinct 11",299,299,279,578
"Shelby Township, Precinct 12",274,274,187,461
"Shelby Township, Precinct 13",188,188,177,365
"Shelby Township, Precinct 14",357,357,363,720
"Shelby Township, Precinct 15",361,361,365,726
"Shelby Township, Precinct 16",530,530,490,"1,020"
"Shelby Township, Precinct 17",193,193,201,394
"Shelby Township, Precinct 18",279,279,327,606
"Shelby Township, Precinct 19",263,263,246,509
"Shelby Township, Precinct 20",192,192,208,400
"Shelby Township, Precinct 21",70,70,151,221
"Shelby Township, Precinct 22",521,521,488,"1,009"
"Shelby Township, Precinct 23",505,505,351,856
"Shelby Township, Precinct 24",609,609,478,"1,087"
"Shelby Township, Precinct 25",372,372,347,719
"Shelby Township, Precinct 26",340,340,410,750
"Shelby Township, Precinct 27",276,276,369,645
"Shelby Township, Precinct 28",397,397,477,874
"Shelby Township, Precinct 29",207,207,164,371
"Shelby Township, Precinct 30",270,270,289,559
"Shelby Township, Precinct 31",249,249,190,439
"Shelby Township, Precinct 32",182,182,138,320
"St. Clair Shores City, Precinct 1",147,147,500,647
"St. Clair Shores City, Precinct 2",265,265,570,835
"St. Clair Shores City, Precinct 3",415,415,678,"1,093"
"St. Clair Shores City, Precinct 4",253,253,478,731
"St. Clair Shores City, Precinct 5",289,289,522,811
"St. Clair Shores City, Precinct 6",136,136,284,420
"St. Clair Shores City, Precinct 7",284,284,521,805
"St. Clair Shores City, Precinct 8",160,160,258,418
"St. Clair Shores City, Precinct 9",254,254,437,691
"St. Clair Shores City, Precinct 10",362,362,563,925
"St. Clair Shores City, Precinct 11",242,242,445,687
"St. Clair Shores City, Precinct 12",468,468,643,"1,111"
"St. Clair Shores City, Precinct 13",274,274,452,726
"St. Clair Shores City, Precinct 14",296,296,430,726
"St. Clair Shores City, Precinct 15",354,354,491,845
"St. Clair Shores City, Precinct 16",337,337,412,749
"St. Clair Shores City, Precinct 17",391,391,525,916
"St. Clair Shores City, Precinct 18",353,353,528,881
"St. Clair Shores City, Precinct 19",267,267,336,603
"St. Clair Shores City, Precinct 20",273,273,351,624
"St. Clair Shores City, Precinct 21",214,214,289,503
"Sterling Heights City, Precinct 1",117,117,265,382
"Sterling Heights City, Precinct 2",203,203,362,565
"Sterling Heights City, Precinct 3",192,192,268,460
"Sterling Heights City, Precinct 4",171,171,334,505
"Sterling Heights City, Precinct 5",150,150,264,414
"Sterling Heights City, Precinct 6",138,138,228,366
"Sterling Heights City, Precinct 7",197,197,278,475
"Sterling Heights City, Precinct 8",177,177,249,426
"Sterling Heights City, Precinct 9",222,222,365,587
"Sterling Heights City, Precinct 10",237,237,340,577
"Sterling Heights City, Precinct 11",309,309,461,770
"Sterling Heights City, Precinct 12",143,143,251,394
"Sterling Heights City, Precinct 13",249,249,324,573
"Sterling Heights City, Precinct 14",305,305,444,749
"Sterling Heights City, Precinct 15",238,238,326,564
"Sterling Heights City, Precinct 16",199,199,363,562
"Sterling Heights City, Precinct 17",133,133,157,290
"Sterling Heights City, Precinct 18",238,238,309,547
"Sterling Heights City, Precinct 19",126,126,204,330
"Sterling Heights City, Precinct 20",119,119,260,379
"Sterling Heights City, Precinct 21",201,201,308,509
"Sterling Heights City, Precinct 22",190,190,366,556
"Sterling Heights City, Precinct 23",213,213,349,562
"Sterling Heights City, Precinct 24",252,252,430,682
"Sterling Heights City, Precinct 25",108,108,169,277
"Sterling Heights City, Precinct 26",194,194,357,551
"Sterling Heights City, Precinct 27",222,222,298,520
"Sterling Heights City, Precinct 28",240,240,353,593
"Sterling Heights City, Precinct 29",241,241,369,610
"Sterling Heights City, Precinct 30",318,318,431,749
"Sterling Heights City, Precinct 31",231,231,364,595
"Sterling Heights City, Precinct 32",191,191,308,499
"Sterling Heights City, Precinct 33",135,135,177,312
"Sterling Heights City, Precinct 34",218,218,397,615
"Sterling Heights City, Precinct 35",204,204,413,617
"Sterling Heights City, Precinct 36",241,241,429,670
"Sterling Heights City, Precinct 37",149,149,253,402
"Sterling Heights City, Precinct 38",230,230,404,634
"Sterling Heights City, Precinct 39",219,219,328,547
"Sterling Heights City, Precinct 40",130,130,269,399
"Sterling Heights City, Precinct 41",96,96,188,284
"Sterling Heights City, Precinct 42",209,209,456,665
"Sterling Heights City, Precinct 43",266,266,529,795
"Utica City, Precinct 1",77,77,110,187
"Utica City, Precinct 2",167,167,212,379
"Utica City, Precinct 3",140,140,228,368
"Warren City, Precinct 1",70,70,285,355
"Warren City, Precinct 2",85,85,283,368
"Warren City, Precinct 3",111,111,308,419
"Warren City, Precinct 4",107,107,299,406
"Warren City, Precinct 5",123,123,328,451
"Warren City, Precinct 6",39,39,150,189
"Warren City, Precinct 7",58,58,163,221
"Warren City, Precinct 8",78,78,164,242
"Warren City, Precinct 9",56,56,142,198
"Warren City, Precinct 10",1,1,3,4
"Warren City, Precinct 11",43,43,132,175
"Warren City, Precinct 12",50,50,74,124
"Warren City, Precinct 13",158,158,324,482
"Warren City, Precinct 14",66,66,152,218
"Warren City, Precinct 15",69,69,205,274
"Warren City, Precinct 16",98,98,167,265
"Warren City, Precinct 17",29,29,86,115
"Warren City, Precinct 18",122,122,315,437
"Warren City, Precinct 19",204,204,424,628
"Warren City, Precinct 20",190,190,368,558
"Warren City, Precinct 21",167,167,360,527
"Warren City, Precinct 22",80,80,139,219
"Warren City, Precinct 23",112,112,209,321
"Warren City, Precinct 24",44,44,139,183
"Warren City, Precinct 25",204,204,292,496
"Warren City, Precinct 26",151,151,275,426
"Warren City, Precinct 27",199,199,493,692
"Warren City, Precinct 28",254,254,468,722
"Warren City, Precinct 29",218,218,392,610
"Warren City, Precinct 30",259,259,436,695
"Warren City, Precinct 31",79,79,203,282
"Warren City, Precinct 32",178,178,397,575
"Warren City, Precinct 33",86,86,244,330
"Warren City, Precinct 34",89,89,276,365
"Warren City, Precinct 35",107,107,213,320
"Warren City, Precinct 36",208,208,411,619
"Warren City, Precinct 37",207,207,430,637
"Warren City, Precinct 38",191,191,302,493
"Warren City, Precinct 39",112,112,327,439
"Warren City, Precinct 40",158,158,337,495
"Warren City, Precinct 41",114,114,265,379
"Warren City, Precinct 42",220,220,442,662
"Warren City, Precinct 43",95,95,288,383
"Warren City, Precinct 44",291,291,432,723
"Warren City, Precinct 45",213,213,338,551
"Warren City, Precinct 46",243,243,492,735
"Warren City, Precinct 47",150,150,229,379
"Warren City, Precinct 48",136,136,253,389
"Warren City, Precinct 49",224,224,376,600
"Warren City, Precinct 50",167,167,340,507
"Warren City, Precinct 51",101,101,199,300
"Warren City, Precinct 52",185,185,302,487
"Warren City, Precinct 53",308,308,470,778
"Washington Township, Precinct 1",175,175,207,382
"Washington Township, Precinct 2",307,307,294,601
"Washington Township, Precinct 3",426,426,387,813
"Washington Township, Precinct 4",284,284,248,532
"Washington Township, Precinct 5",459,459,301,760
"Washington Township, Precinct 6",546,546,421,967
"Washington Township, Precinct 7",462,462,351,813
"Washington Township, Precinct 8",350,350,358,708
"Washington Township, Precinct 9",228,228,161,389
"Washington Township, Precinct 10",278,278,264,542
"Washington Township, Precinct 11",311,311,235,546
"Washington Township, Precinct 12",184,184,144,328
Totals,"74,225","74,225","101,311","175,536"

