Precinct,"Bill Clift
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"2,665","2,665","6,432","9,097"
"Center Line City, Precinct 1",113,113,233,346
"Center Line City, Precinct 2",75,75,200,275
"Center Line City, Precinct 3",100,100,244,344
"Center Line City, Precinct 4",88,88,142,230
"Center Line City, Precinct 5",65,65,131,196
"Warren City, Precinct 1",71,71,284,355
"Warren City, Precinct 2",86,86,282,368
"Warren City, Precinct 3",109,109,310,419
"Warren City, Precinct 4",110,110,296,406
"Warren City, Precinct 5",126,126,325,451
"Warren City, Precinct 6",36,36,153,189
"Warren City, Precinct 7",61,61,160,221
"Warren City, Precinct 8",77,77,165,242
"Warren City, Precinct 11",45,45,130,175
"Warren City, Precinct 12",51,51,73,124
"Warren City, Precinct 17",29,29,86,115
"Warren City, Precinct 18",123,123,314,437
"Warren City, Precinct 19",205,205,423,628
"Warren City, Precinct 20",191,191,367,558
"Warren City, Precinct 21",167,167,360,527
"Warren City, Precinct 31",81,81,201,282
"Warren City, Precinct 32",177,177,398,575
"Warren City, Precinct 33",89,89,241,330
"Warren City, Precinct 34",86,86,279,365
"Warren City, Precinct 35",99,99,221,320
"Warren City, Precinct 36",205,205,414,619
Totals,"2,665","2,665","6,432","9,097"

