Precinct,"Daniel V. Lauwers
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,011","3,011","2,413","5,424"
"Armada Township, Precinct 1",419,419,422,841
"Armada Township, Precinct 2",352,352,253,605
"Lenox Township, Precinct 1",257,257,191,448
"Lenox Township, Precinct 2",340,340,240,580
"Lenox Township, Precinct 3",197,197,283,480
"Lenox Township, Precinct 4",81,81,83,164
"Memphis City, Precinct 1",112,112,67,179
"Richmond City, Precinct 1",391,391,338,729
"Richmond City, Precinct 2",311,311,238,549
"Richmond Township, Precinct 1",276,276,122,398
"Richmond Township, Precinct 2",275,275,176,451
Totals,"3,011","3,011","2,413","5,424"

