Precinct,"Mike Aiello
Republican","Austin Negipe
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"6,864","1,231","8,095","10,759","18,854"
"Clinton Township, Precinct 5",40,3,43,122,165
"Clinton Township, Precinct 6",79,19,98,202,300
"Clinton Township, Precinct 12",211,39,250,245,495
"Clinton Township, Precinct 13",139,16,155,158,313
"Clinton Township, Precinct 14",76,12,88,193,281
"Clinton Township, Precinct 15",242,45,287,317,604
"Clinton Township, Precinct 16",413,36,449,486,935
"Clinton Township, Precinct 17",150,35,185,241,426
"Clinton Township, Precinct 18",219,25,244,287,531
"Clinton Township, Precinct 19",143,22,165,210,375
"Clinton Township, Precinct 20",180,28,208,271,479
"Clinton Township, Precinct 21",166,14,180,262,442
"Clinton Township, Precinct 22",283,39,322,264,586
"Clinton Township, Precinct 23",347,49,396,355,751
"Clinton Township, Precinct 24",117,23,140,135,275
"Clinton Township, Precinct 25",254,33,287,232,519
"Clinton Township, Precinct 26",146,29,175,320,495
"Clinton Township, Precinct 27",87,18,105,341,446
"Clinton Township, Precinct 29",147,30,177,165,342
"Clinton Township, Precinct 30",201,34,235,322,557
"Clinton Township, Precinct 31",173,21,194,211,405
"Clinton Township, Precinct 32",171,26,197,211,408
"Clinton Township, Precinct 33",172,31,203,230,433
"Clinton Township, Precinct 34",120,30,150,213,363
"Clinton Township, Precinct 35",213,52,265,259,524
"Clinton Township, Precinct 39",106,27,133,196,329
"Mount Clemens City, Precinct 1",28,11,39,252,291
"Mount Clemens City, Precinct 2",139,30,169,305,474
"Mount Clemens City, Precinct 3",166,49,215,336,551
"Mount Clemens City, Precinct 4",76,19,95,171,266
"Mount Clemens City, Precinct 6",109,28,137,402,539
"Mount Clemens City, Precinct 9",204,37,241,313,554
"Sterling Heights City, Precinct 28",223,54,277,316,593
"Sterling Heights City, Precinct 29",247,43,290,320,610
"Sterling Heights City, Precinct 30",294,66,360,389,749
"Sterling Heights City, Precinct 35",187,45,232,385,617
"Sterling Heights City, Precinct 37",140,23,163,239,402
"Sterling Heights City, Precinct 38",223,41,264,370,634
"Sterling Heights City, Precinct 43",233,49,282,513,795
Totals,"6,864","1,231","8,095","10,759","18,854"

