Precinct,"Antoinette Wallace
Democratic","Pamela David
Democratic","Matt Wojcik
Democratic","Jason M. Davidson
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"2,425","1,610","1,375",505,"5,915","6,766","12,681"
"Clinton Township, Precinct 4",101,62,55,24,242,383,625
"Clinton Township, Precinct 5",51,26,20,8,105,60,165
"Clinton Township, Precinct 6",78,47,27,14,166,134,300
"Clinton Township, Precinct 13",25,37,18,14,94,219,313
"Clinton Township, Precinct 14",83,37,30,14,164,117,281
"Clinton Township, Precinct 20",77,72,62,14,225,254,479
"Clinton Township, Precinct 21",56,83,46,27,212,230,442
"Clinton Township, Precinct 24",30,29,22,3,84,191,275
"Clinton Township, Precinct 25",47,45,56,13,161,358,519
"Clinton Township, Precinct 26",83,72,82,21,258,237,495
"Clinton Township, Precinct 27",66,73,44,11,194,252,446
"Clinton Township, Precinct 28",97,71,73,29,270,326,596
"Clinton Township, Precinct 29",34,40,36,10,120,222,342
"Clinton Township, Precinct 30",74,92,75,8,249,308,557
"Clinton Township, Precinct 31",30,63,51,18,162,243,405
"Clinton Township, Precinct 32",39,41,40,22,142,266,408
"Clinton Township, Precinct 33",49,49,42,15,155,278,433
"Clinton Township, Precinct 34",60,43,49,18,170,193,363
"Clinton Township, Precinct 35",56,78,42,31,207,317,524
"Clinton Township, Precinct 36",29,29,18,28,104,159,263
"Clinton Township, Precinct 37",99,64,72,21,256,324,580
"Clinton Township, Precinct 38",81,56,70,14,221,179,400
"Clinton Township, Precinct 41",116,51,14,16,197,40,237
"Clinton Township, Precinct 42",74,88,67,25,254,304,558
"Mount Clemens City, Precinct 1",201,23,8,10,242,49,291
"Mount Clemens City, Precinct 2",145,47,49,14,255,219,474
"Mount Clemens City, Precinct 3",165,44,54,17,280,271,551
"Mount Clemens City, Precinct 4",82,31,21,7,141,125,266
"Mount Clemens City, Precinct 6",204,73,52,18,347,192,539
"Mount Clemens City, Precinct 9",93,44,80,21,238,316,554
Totals,"2,425","1,610","1,375",505,"5,915","6,766","12,681"

